"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Spp1",0,3.8704483149314,0.818,0.161,0,"1","Spp1"
"Lalba",0,3.26989601761951,0.763,0.048,0,"1","Lalba"
"Trf",0,3.06655121000537,0.995,0.311,0,"1","Trf"
"Csn3",0,2.97553254760063,0.946,0.136,0,"1","Csn3"
"Cst3",0,2.58872258252006,0.988,0.697,0,"1","Cst3"
"Plet1",0,2.24374373665907,0.966,0.321,0,"1","Plet1"
"Cd14",0,2.15268698549789,0.865,0.142,0,"1","Cd14"
"Lrg1",0,2.08604741041152,0.739,0.114,0,"1","Lrg1"
"Mfge8",0,2.00919320585904,0.985,0.564,0,"1","Mfge8"
"Cck",0,1.94074462887376,0.621,0.031,0,"1","Cck"
"Lcn2",0,1.68196054420392,0.988,0.618,0,"1","Lcn2"
"Btn1a1",0,1.59994735433572,0.643,0.033,0,"1","Btn1a1"
"Mgst1",0,1.57158040018798,0.988,0.694,0,"1","Mgst1"
"Elf5",0,1.56048295933879,0.723,0.086,0,"1","Elf5"
"Aldoc",0,1.54451701506036,0.862,0.256,0,"1","Aldoc"
"Atp6v1b1",0,1.5151912453442,0.701,0.063,0,"1","Atp6v1b1"
"Tspan8",0,1.41125120982037,0.674,0.088,0,"1","Tspan8"
"Cd81",0,1.36600242444814,0.999,0.817,0,"1","Cd81"
"Hey1",0,1.34871933669384,0.515,0.04,0,"1","Hey1"
"Itm2b",0,1.33811227014403,1,0.988,0,"1","Itm2b"
"Lipa",0,1.2705527321978,0.582,0.067,0,"1","Lipa"
"Clic6",0,1.19724798177317,0.542,0.031,0,"1","Clic6"
"C530043A13Rik",2.95983732192162e-302,1.25086026624033,0.531,0.057,4.41015760966321e-298,"1","C530043A13Rik"
"Folr1",4.4667718035311e-295,1.35228564928726,0.574,0.08,6.65548998726134e-291,"1","Folr1"
"Plin2",5.64683966325915e-287,1.69889205496226,0.811,0.263,8.41379109825614e-283,"1","Plin2"
"Muc15",3.06905966159399e-250,1.17459509781147,0.562,0.09,4.57289889577504e-246,"1","Muc15"
"Csn1s1",4.30128464926541e-249,2.51590802240959,0.567,0.098,6.40891412740546e-245,"1","Csn1s1"
"Ltf",1.19911920471185e-248,2.53837122437452,0.468,0.054,1.78668761502065e-244,"1","Ltf"
"Ier5",1.33102075127924e-232,1.30464371489116,0.909,0.496,1.98322091940607e-228,"1","Ier5"
"Lbp",3.1057965504983e-229,0.952676784552546,0.444,0.053,4.62763686024247e-225,"1","Lbp"
"Ctsh",9.77263551315741e-227,1.11908049567613,0.796,0.27,1.45612269146045e-222,"1","Ctsh"
"Crabp2",7.40110536636638e-223,1.02232490370757,0.531,0.092,1.10276469958859e-218,"1","Crabp2"
"Plb1",4.88636782933136e-221,1.03547354487244,0.528,0.087,7.28068806570372e-217,"1","Plb1"
"Wisp2",1.25064567503976e-219,1.05522457797354,0.432,0.052,1.86346205580925e-215,"1","Wisp2"
"Fcgbp",2.4510892956655e-201,1.16479368627969,0.535,0.102,3.65212305054159e-197,"1","Fcgbp"
"Clu",7.58854992843981e-201,1.13783683933016,0.926,0.459,1.13069393933753e-196,"1","Clu"
"Trim46",4.00585226682911e-198,0.918430284038394,0.465,0.076,5.96871987757537e-194,"1","Trim46"
"Serinc3",1.63898235162792e-197,1.05753338012697,0.921,0.517,2.44208370392561e-193,"1","Serinc3"
"Igfbp5",6.43111101342473e-197,1.09855122897825,0.924,0.46,9.58235541000285e-193,"1","Igfbp5"
"Scnn1b",7.9280627928114e-196,0.756111401744211,0.336,0.03,1.1812813561289e-191,"1","Scnn1b"
"Klf6",2.13955197833207e-193,1.22710694663354,0.969,0.728,3.18793244771478e-189,"1","Klf6"
"Kcnn4",3.42021884041685e-192,0.781079861102888,0.41,0.055,5.09612607222111e-188,"1","Kcnn4"
"Car2",9.6000939286132e-192,1.00005817599146,0.429,0.062,1.43041399536337e-187,"1","Car2"
"Spns3",3.69185047722601e-185,0.843349820098155,0.369,0.045,5.50085721106675e-181,"1","Spns3"
"Slc28a3",8.47715680835945e-184,1.20259908897382,0.363,0.043,1.26309636444556e-179,"1","Slc28a3"
"Csn1s2a",3.19245969264852e-183,3.21899652990589,0.382,0.051,4.75676494204629e-179,"1","Csn1s2a"
"Ehf",4.53013827438967e-180,0.896679625569116,0.446,0.077,6.7499060288406e-176,"1","Ehf"
"Rftn1",4.24494588716399e-177,0.776929280914959,0.328,0.034,6.32496937187434e-173,"1","Rftn1"
"Bglap3",2.9442239822002e-175,1.48166060160869,0.304,0.028,4.38689373347831e-171,"1","Bglap3"
"Ceacam10",4.91031175147452e-174,0.897161626772661,0.334,0.038,7.31636450969703e-170,"1","Ceacam10"
"Wfdc18",5.21566204042015e-174,0.932730263198634,0.555,0.116,7.77133644022602e-170,"1","Wfdc18"
"Rhov",1.45494840860575e-172,1.01845776197637,0.571,0.149,2.16787312882256e-168,"1","Rhov"
"Cldn3",5.75651640214848e-167,0.89431030945171,0.964,0.48,8.57720943920123e-163,"1","Cldn3"
"Wnt5b",1.01666421445118e-161,0.925900897289704,0.519,0.126,1.51482967953226e-157,"1","Wnt5b"
"Plscr2",7.12157979678589e-158,0.866206771033929,0.454,0.091,1.0611153897211e-153,"1","Plscr2"
"Ramp1",3.93633802139338e-156,1.07760112652605,0.576,0.18,5.86514365187614e-152,"1","Ramp1"
"Jund",1.48823402821738e-147,0.844675434692926,0.972,0.841,2.2174687020439e-143,"1","Jund"
"Cp",2.32399931450696e-147,0.922839346221818,0.55,0.153,3.46275897861537e-143,"1","Cp"
"Rpl10",1.98502556601035e-146,0.397277024612308,1,0.998,2.95768809335542e-142,"1","Rpl10"
"Smpdl3a",1.26078472914483e-144,0.801901223082504,0.456,0.101,1.8785692464258e-140,"1","Smpdl3a"
"Gm13889",4.69560605034394e-144,0.933834306283063,0.336,0.05,6.99645301501248e-140,"1","Gm13889"
"Ppp1r2",3.78912743283445e-143,1.07036036949947,0.8,0.501,5.64579987492333e-139,"1","Ppp1r2"
"Ifrd1",3.27259773531107e-140,1.19912378497749,0.8,0.455,4.87617062561349e-136,"1","Ifrd1"
"Cracr2b",1.12602613172671e-138,0.870224602344967,0.686,0.287,1.6777789362728e-134,"1","Cracr2b"
"Dbi",4.64609642945132e-137,0.926469531674465,0.851,0.51,6.92268367988247e-133,"1","Dbi"
"Arhgef6",4.95081247686905e-135,0.712141649328723,0.273,0.032,7.37671059053489e-131,"1","Arhgef6"
"Tgfb3",5.78419430872078e-132,0.850440526355485,0.491,0.136,8.61844951999397e-128,"1","Tgfb3"
"Chst1",3.65675701684511e-130,0.625569809758239,0.255,0.028,5.44856795509922e-126,"1","Chst1"
"Fxyd3",5.80878466369508e-123,0.766021688632064,0.932,0.713,8.65508914890567e-119,"1","Fxyd3"
"Epcam",3.60456779241547e-117,0.690822833529235,0.991,0.823,5.37080601069905e-113,"1","Epcam"
"Csn2",3.94833949102354e-116,2.45578922119657,0.328,0.063,5.88302584162508e-112,"1","Csn2"
"Efhd2",7.67413534193102e-116,1.04878268870025,0.664,0.311,1.14344616594772e-111,"1","Efhd2"
"Nfkbia",6.94528023501876e-114,0.990368991543728,0.901,0.738,1.0348467550178e-109,"1","Nfkbia"
"Cxcl1",3.90746557548288e-112,1.61489376189341,0.548,0.209,5.82212370746949e-108,"1","Cxcl1"
"Snta1",1.26776366210856e-104,0.656666546204174,0.345,0.077,1.88896785654175e-100,"1","Snta1"
"Txnip",9.16387089876415e-104,1.16268567604585,0.584,0.24,1.36541676391586e-99,"1","Txnip"
"Ogfrl1",7.57831925171403e-102,0.656299913740089,0.386,0.098,1.12916956850539e-97,"1","Ogfrl1"
"Zfp36l2",1.81975620822188e-100,0.955430731939759,0.803,0.54,2.71143675025061e-96,"1","Zfp36l2"
"Chka",1.83112242953085e-98,1.01298513895476,0.649,0.33,2.72837242000096e-94,"1","Chka"
"Krt18",2.51444418297017e-95,0.616155770364255,0.995,0.732,3.74652183262555e-91,"1","Krt18"
"Ier3",4.39869310324348e-95,0.811750394994607,0.891,0.681,6.55405272383279e-91,"1","Ier3"
"Barx2",1.05888143499299e-94,0.737110200208938,0.315,0.071,1.57773333813955e-90,"1","Barx2"
"Dcxr",6.00049382836727e-94,0.806060822234785,0.481,0.181,8.94073580426723e-90,"1","Dcxr"
"Tmbim6",7.00218359807375e-93,0.49017244525887,0.965,0.871,1.04332535611299e-88,"1","Tmbim6"
"Ceacam1",1.60418668217764e-92,0.646303893081398,0.338,0.085,2.39023815644469e-88,"1","Ceacam1"
"Arrdc4",3.83810228561812e-92,0.814769622556146,0.444,0.154,5.71877240557101e-88,"1","Arrdc4"
"Cbr2",6.24321270742361e-92,0.914394013386092,0.45,0.155,9.30238693406117e-88,"1","Cbr2"
"Ube2f",1.4685572870575e-91,0.813188367625247,0.615,0.311,2.18815035771568e-87,"1","Ube2f"
"Nqo1",4.59273701694849e-90,0.572612389991869,0.288,0.06,6.84317815525325e-86,"1","Nqo1"
"Dusp5",9.18646296890196e-90,0.973147270418729,0.496,0.193,1.36878298236639e-85,"1","Dusp5"
"Sepp1",3.41123763415461e-89,0.732347990939651,0.669,0.344,5.08274407489036e-85,"1","Sepp1"
"Rps6",1.50727017822374e-84,0.28229727272914,1,0.998,2.24583256555337e-80,"1","Rps6"
"Phlda1",2.04603711731257e-84,0.796881188693866,0.776,0.48,3.04859530479573e-80,"1","Phlda1"
"Ptges",6.71317212990213e-82,0.652149723992008,0.367,0.112,1.00026264735542e-77,"1","Ptges"
"Trps1",8.63044148743253e-80,0.698865853963944,0.623,0.323,1.28593578162745e-75,"1","Trps1"
"Bin1",1.14366363345148e-79,0.598604868983623,0.389,0.125,1.7040588138427e-75,"1","Bin1"
"Ier2",1.54408496697783e-78,0.788919851843783,0.975,0.903,2.30068660079697e-74,"1","Ier2"
"Klf9",9.51451481639823e-77,0.678901216038859,0.686,0.384,1.41766270764334e-72,"1","Klf9"
"Anpep",1.86555996170995e-76,0.531908799497943,0.284,0.069,2.77968434294783e-72,"1","Anpep"
"Slc39a14",7.47356922708956e-76,0.491575761148614,0.268,0.062,1.11356181483634e-71,"1","Slc39a14"
"Lurap1l",1.15789934055077e-74,0.879099452201984,0.487,0.206,1.72527001742064e-70,"1","Lurap1l"
"Osgin2",1.7027801555188e-74,0.629138374340084,0.26,0.06,2.53714243172301e-70,"1","Osgin2"
"Btg2",1.03551235113499e-73,0.728160299904276,0.946,0.855,1.54291340319113e-69,"1","Btg2"
"Slc15a2",2.42408626650415e-73,0.579754603908024,0.339,0.104,3.61188853709119e-69,"1","Slc15a2"
"Cldn7",2.93224660778447e-71,0.608803994548704,0.743,0.407,4.36904744559887e-67,"1","Cldn7"
"Rac3",6.46511529784625e-71,0.548091137267382,0.306,0.086,9.63302179379092e-67,"1","Rac3"
"Syne4",9.15329967850016e-71,0.603921554219886,0.464,0.193,1.36384165209652e-66,"1","Syne4"
"Ckmt1",3.78225502631924e-70,0.504062150355343,0.265,0.066,5.63555998921567e-66,"1","Ckmt1"
"Rora",5.11497622891601e-70,0.539553573176781,0.265,0.066,7.62131458108485e-66,"1","Rora"
"Hddc2",1.4904965976961e-69,0.665504162102935,0.489,0.226,2.2208399305672e-65,"1","Hddc2"
"Id1",2.0146031418107e-69,0.989207963443101,0.375,0.133,3.00175868129794e-65,"1","Id1"
"Fam110a",5.4310878297959e-69,0.74999286515463,0.611,0.339,8.09232086639589e-65,"1","Fam110a"
"Trib1",4.66359501136913e-68,0.747356375484611,0.677,0.408,6.94875656694001e-64,"1","Trib1"
