"","pbmc4k","pbmc8k","similarity","regroup","pbmc4k_cell_perc","pbmc8k_cell_perc","pbmc4k.vs.pbmc8k_separability"
"1","pbmc4k_4","pbmc8k_6",0.83,1,"0.1","0.09",-0.09
"2","pbmc4k_6","pbmc8k_4",0.82,2,"0.08","0.11",0.03
"3","pbmc4k_2","pbmc8k_5",0.82,3,"0.13","0.1",-0.01
"4","pbmc4k_0","pbmc8k_0",0.79,4,"0.19","0.16",-0.02
"5","pbmc4k_3","pbmc8k_2",0.76,5,"0.12","0.12",-0.08
"6","pbmc4k_5","pbmc8k_3",0.76,6,"0.09","0.12",-0.07
"7","pbmc4k_10","pbmc8k_9",0.74,7,"0.03","0.03",-0.08
"8","pbmc4k_9","pbmc8k_10",0.71,8,"0.03","0.03",-0.01
"9","pbmc4k_8","pbmc8k_7",0.71,9,"0.04","0.06",0.05
"10","pbmc4k_1","pbmc8k_1",0.68,10,"0.13","0.12",-0.08
"11","pbmc4k_7","pbmc8k_8",0.66,11,"0.04","0.06",0.05
"12","pbmc4k_11","pbmc8k_12",0.61,12,"0.01","0.01",-0.08
"13","pbmc4k_12","pbmc8k_11",0.48,13,"0.01","0.01",-0.02
