"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Krt17",5.67976478398806e-192,1.80842235725948,0.981,0.33,7.86704220230187e-188,"0","Krt17"
"Krt14",4.94367279885592e-159,1.39321710644889,0.995,0.379,6.84748119369533e-155,"0","Krt14"
"Tagln",7.66174482291409e-153,1.3748246520307,0.988,0.358,1.06122827542183e-148,"0","Tagln"
"Lgals1",4.68827388015737e-152,1.35943621010513,0.883,0.27,6.49372815140598e-148,"0","Lgals1"
"Cotl1",4.67397797125703e-146,1.23252192202819,0.952,0.411,6.47392688798811e-142,"0","Cotl1"
"Lmo1",5.93173319735465e-145,1.10147157995841,0.812,0.196,8.21604365165592e-141,"0","Lmo1"
"Igfbp7",5.6398896400337e-144,1.03770157154576,0.879,0.265,7.81181114041068e-140,"0","Igfbp7"
"Lgals7",8.176282681161e-140,1.3980150676972,0.848,0.26,1.13249691416761e-135,"0","Lgals7"
"Tpm2",2.64671670051694e-137,1.10794067907693,0.995,0.36,3.66596730188602e-133,"0","Tpm2"
"Krt15",1.64075698585377e-133,1.54519302488941,0.707,0.164,2.27261250110605e-129,"0","Krt15"
"Myl9",9.99835613006724e-128,1.02428821302906,0.976,0.337,1.38487230757561e-123,"0","Myl9"
"Cnn1",2.50481083888548e-127,1.06267808233018,0.957,0.313,3.46941349294028e-123,"0","Cnn1"
"Acta2",1.84037904273849e-121,1.08409864145094,0.995,0.432,2.54910901209709e-117,"0","Acta2"
"Cxcl14",1.72558050174619e-120,0.823032114013774,0.99,0.336,2.39010155296865e-116,"0","Cxcl14"
"Apoe",1.65612082401873e-118,1.09923588413874,0.998,0.584,2.29389295334834e-114,"0","Apoe"
"Postn",5.31844451731415e-118,1.10064099802798,0.712,0.169,7.36657750093182e-114,"0","Postn"
"Krt5",8.37053771956763e-109,0.901186219694248,0.855,0.264,1.15940317953731e-104,"0","Krt5"
"Csrp1",6.64952408140739e-108,0.979881118967111,0.976,0.549,9.21025580515738e-104,"0","Csrp1"
"Sfn",1.16744239613363e-106,0.958522461054661,0.983,0.821,1.61702446288469e-102,"0","Sfn"
"Sparc",3.79920258250358e-102,0.824491046176524,0.979,0.356,5.26227549702571e-98,"0","Sparc"
"Myl6",4.68581181373146e-98,0.673876939968188,1,0.967,6.49031794319945e-94,"0","Myl6"
"Rbp1",2.41067573688982e-96,0.851228956026285,0.955,0.501,3.33902696316608e-92,"0","Rbp1"
"Pxdc1",8.97263121949125e-95,0.975929705875686,0.681,0.2,1.24279915021173e-90,"0","Pxdc1"
"S100a10",6.93874745045141e-94,0.797291814570606,0.96,0.745,9.61085909362024e-90,"0","S100a10"
"Igfbp3",1.18298559261767e-91,1.01635229110446,0.61,0.158,1.63855334433474e-87,"0","Igfbp3"
"Ifitm3",1.45079385627396e-90,0.688103260862968,1,0.847,2.00949457032506e-86,"0","Ifitm3"
"Tpm1",1.72291066142125e-89,0.884004871678842,0.919,0.562,2.38640355713457e-85,"0","Tpm1"
"Cald1",5.9260678637306e-88,0.764550944374515,0.84,0.313,8.20819659805325e-84,"0","Cald1"
"Pfn1",2.09964676582063e-86,0.583028168779345,0.99,0.956,2.90822073533815e-82,"0","Pfn1"
"Rcn3",4.29456275350474e-81,0.690324097345362,0.638,0.178,5.94839886987942e-77,"0","Rcn3"
"Emid1",8.50886674292806e-79,0.74370640012461,0.702,0.235,1.17856313256297e-74,"0","Emid1"
"Vwa1",4.34687408927263e-78,0.7538179983204,0.657,0.201,6.02085530105152e-74,"0","Vwa1"
"Slc25a4",6.02030695040457e-78,0.621717138356376,0.969,0.866,8.33872715700537e-74,"0","Slc25a4"
"Slpi",1.90565508925651e-77,1.44958528282277,0.819,0.371,2.63952286412919e-73,"0","Slpi"
"Serpinh1",3.16834642276229e-77,0.675621927261603,0.952,0.566,4.38847663016805e-73,"0","Serpinh1"
"Igfbp2",3.36827425515481e-76,0.816550430316168,0.612,0.175,4.66539667081493e-72,"0","Igfbp2"
"Fst",1.41372883481612e-74,1.06404993255206,0.569,0.163,1.95815580910381e-70,"0","Fst"
"Dstn",1.95792745668216e-74,0.569798802729394,0.995,0.865,2.71192532025047e-70,"0","Dstn"
"Selm",3.103947325162e-74,0.621133488763099,0.726,0.248,4.29927744008189e-70,"0","Selm"
"Actg2",8.37444878705751e-73,0.992951239707467,0.56,0.158,1.15994490149534e-68,"0","Actg2"
"Myh11",1.50436272553093e-72,0.645914576595845,0.674,0.211,2.08369281113289e-68,"0","Myh11"
"Adamts1",1.71429994081141e-72,0.804575560678402,0.519,0.134,2.37447684801789e-68,"0","Adamts1"
"Flna",1.87079035289508e-70,0.765078254473994,0.664,0.242,2.59123171779497e-66,"0","Flna"
"Arc",3.22265432383222e-70,0.757559366780794,0.5,0.13,4.46369850394001e-66,"0","Arc"
"Wnt10a",3.44390823117757e-67,0.545037665106453,0.352,0.061,4.77015729100405e-63,"0","Wnt10a"
"Pdpn",4.99943337063382e-67,0.64432981644741,0.548,0.156,6.9247151616649e-63,"0","Pdpn"
"Tubb6",7.32891361694294e-67,0.782016585391064,0.748,0.335,1.01512782508277e-62,"0","Tubb6"
"Perp",3.85765091011429e-66,0.637665115537781,0.864,0.445,5.3432322755993e-62,"0","Perp"
"Gm21190",3.94741630335161e-65,0.63339999171297,0.338,0.058,5.46756632177232e-61,"0","Gm21190"
"Hacd1",8.7467967725034e-64,0.644815452505734,0.557,0.177,1.21151882095945e-59,"0","Hacd1"
