"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Krt14",2.41687374293323e-173,1.29822009321733,0.993,0.387,3.38990711183814e-169,"0","Krt14"
"Cxcl14",7.96863797420351e-163,1.1538601568749,0.996,0.374,1.11768116226178e-158,"0","Cxcl14"
"Krt17",8.51194979573863e-163,1.3325405754615,0.963,0.348,1.1938860783503e-158,"0","Krt17"
"Cnn1",1.68330188396344e-150,1.0734991611977,0.978,0.35,2.36099922244712e-146,"0","Cnn1"
"Tagln",2.934306082983e-150,1.10637329478322,0.987,0.382,4.11565771199195e-146,"0","Tagln"
"Tpm2",1.73831423766959e-149,1.09095461251287,0.985,0.4,2.43815954975537e-145,"0","Tpm2"
"Acta2",3.8710653770957e-141,1.09102551376616,0.998,0.433,5.42955629791443e-137,"0","Acta2"
"Csrp1",1.49817092276729e-137,1.0012495982012,0.996,0.624,2.1013345362734e-133,"0","Csrp1"
"Myl9",1.11824141668472e-134,0.98546174342823,0.98,0.371,1.56844541104199e-130,"0","Myl9"
"Sparc",1.61032973977692e-131,0.891492852376873,0.981,0.385,2.25864849301111e-127,"0","Sparc"
"Apoe",5.91226255763843e-130,0.960976154392333,0.998,0.638,8.29253946334367e-126,"0","Apoe"
"Slpi",2.57066840316976e-128,1.35724932422914,0.914,0.407,3.60561950228591e-124,"0","Slpi"
"Ifitm3",6.68861841108651e-128,0.856618652572545,0.993,0.801,9.38145618338994e-124,"0","Ifitm3"
"Krt5",7.07609619644834e-116,1.00072581646139,0.822,0.313,9.92493252513844e-112,"0","Krt5"
"Vim",3.24286610382136e-115,0.956787621749144,0.822,0.297,4.54844399721984e-111,"0","Vim"
"Myl6",9.57257927467803e-112,0.69478328272253,0.996,0.96,1.34264996906634e-107,"0","Myl6"
"1500015O10Rik",1.16162356798653e-97,0.862239355545556,0.76,0.282,1.62929321645791e-93,"0","1500015O10Rik"
"Dstn",1.18642286208758e-97,0.673384681029439,0.985,0.869,1.66407670636404e-93,"0","Dstn"
"Ctsl",3.39379544057207e-95,0.772939344608556,0.961,0.731,4.76013748494638e-91,"0","Ctsl"
"Calm2",2.70764943630525e-93,0.614656855572395,0.994,0.956,3.79774909936174e-89,"0","Calm2"
"Socs3",1.74292339933057e-92,0.768765616552217,0.98,0.751,2.44462435990105e-88,"0","Socs3"
