"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPL31",0,0.488856418871177,1,0.997,0,"0","RPL31"
"RPS27",0,0.422668560095246,1,1,0,"0","RPS27"
"RPS15A",0,0.37410731222469,1,0.999,0,"0","RPS15A"
"RPL32",0,0.368703976862257,1,0.999,0,"0","RPL32"
"RPL34",0,0.367671056112703,1,1,0,"0","RPL34"
"RPL21",0,0.351280543959147,1,1,0,"0","RPL21"
"RPS3A",2.38956870194994e-305,0.343139541685474,1,0.999,4.38246899937619e-301,"0","RPS3A"
"RPS14",5.74956955202879e-302,0.351596514170839,1,0.999,1.05447105584208e-297,"0","RPS14"
"RPS27A",1.29869096775419e-300,0.37692284757723,1,0.999,2.38179923486118e-296,"0","RPS27A"
"RPL35A",1.58173199500505e-299,0.377570710640106,1,0.999,2.90089647883926e-295,"0","RPL35A"
"RPL30",1.1945936324334e-290,0.408266194147199,1,0.998,2.19088472188285e-286,"0","RPL30"
"RPS25",4.97262481572984e-286,0.416596697547274,1,0.997,9.11979391204853e-282,"0","RPS25"
"RPS6",5.42294319932614e-285,0.407432472634488,1,0.999,9.94567782756415e-281,"0","RPS6"
"RPL11",3.54112173286596e-283,0.333543038464056,1,0.999,6.49441725807618e-279,"0","RPL11"
"RPS13",9.66528124599951e-278,0.370754854289008,1,0.998,1.77261258051631e-273,"0","RPS13"
"RPS29",2.02532873655478e-275,0.405707810922915,1,0.999,3.71445290284146e-271,"0","RPS29"
"FHIT",1.10503302791966e-264,0.764914338178895,0.42,0.081,2.02663057320466e-260,"0","FHIT"
"CCR7",1.14025357495761e-255,0.819467703080861,0.655,0.226,2.09122505647226e-251,"0","CCR7"
"RPLP2",3.20898902510678e-249,0.330830824794357,1,0.999,5.88528587204584e-245,"0","RPLP2"
"RPL9",5.33872198135428e-248,0.359476277151525,1,0.998,9.79121611380376e-244,"0","RPL9"
"LEF1",2.44602394562291e-246,0.804657792085432,0.655,0.235,4.48600791627242e-242,"0","LEF1"
"RPL7",2.53724807349875e-221,0.284256830088403,1,0.999,4.6533129667967e-217,"0","RPL7"
"RPS12",9.02621591534796e-220,0.33307184697521,1,0.999,1.65540799887482e-215,"0","RPS12"
"RPL3",1.66414441680998e-214,0.344490279722572,1,0.998,3.0520408604295e-210,"0","RPL3"
"LDHB",1.03504178873362e-213,0.635250032745265,0.954,0.694,1.89826664053746e-209,"0","LDHB"
"RPL13",2.66291608283773e-210,0.274868994154547,1,1,4.8837880959244e-206,"0","RPL13"
"RPL19",1.42409014724577e-209,0.304056181919905,1,0.999,2.61178133004873e-205,"0","RPL19"
"TRAC",6.13792151416449e-198,0.650623182382634,0.955,0.571,1.12569480569777e-193,"0","TRAC"
"RPS20",2.8789584508935e-190,0.354998842082376,1,0.993,5.28000979893868e-186,"0","RPS20"
