"","p_val","avg_diff","pct.1","pct.2","cluster","gene"
"CCL8",0,3.34493571322253,0.918,0.168,"0","CCL8"
"CCL2",0,3.32061933734079,0.973,0.174,"0","CCL2"
"CCL7",0,3.05676982352914,0.578,0.039,"0","CCL7"
"FTL",0,2.3155503778397,1,0.845,"0","FTL"
"APOBEC3A",0,2.20655143311372,1,0.212,"0","APOBEC3A"
"S100A9",0,2.1487634359224,0.692,0.037,"0","S100A9"
"IL1RN",0,2.13578600598504,0.902,0.143,"0","IL1RN"
"LGALS3",0,2.10381301591761,0.949,0.209,"0","LGALS3"
"CTSL",0,2.08723439920486,0.884,0.159,"0","CTSL"
"CTSB",0,2.08228920870096,0.946,0.184,"0","CTSB"
"IDO1",0,2.07027950926823,0.966,0.169,"0","IDO1"
"LYZ",0,2.00927051000869,0.894,0.121,"0","LYZ"
"SOD2",0,1.98420153768004,0.99,0.33,"0","SOD2"
"C15orf48",0,1.94339615725324,0.987,0.203,"0","C15orf48"
"S100A8",0,1.91210050645396,0.523,0.023,"0","S100A8"
"PLA2G7",0,1.90959681491484,0.736,0.047,"0","PLA2G7"
"LGALS1",0,1.83279636808532,0.967,0.229,"0","LGALS1"
"CD63",0,1.82965977529594,0.994,0.302,"0","CD63"
"FCN1",0,1.80891272314997,0.899,0.119,"0","FCN1"
"ANXA5",0,1.76199733196557,0.99,0.315,"0","ANXA5"
"CSTB",0,1.75039940455167,0.894,0.287,"0","CSTB"
"S100A4",0,1.70951034824932,0.934,0.195,"0","S100A4"
"CXCL11",0,1.70698663409132,0.93,0.192,"0","CXCL11"
"FCER1G",0,1.70270266090515,0.99,0.221,"0","FCER1G"
"NINJ1",0,1.68556538511262,0.893,0.158,"0","NINJ1"
"IGSF6",0,1.68333302111745,0.864,0.126,"0","IGSF6"
"CXCL10",0,1.68005747435062,0.984,0.438,"0","CXCL10"
"SDS",0,1.64235416327469,0.43,0.027,"0","SDS"
"HPSE",0,1.63014829564434,0.682,0.062,"0","HPSE"
"TYMP",0,1.62263180102313,0.998,0.448,"0","TYMP"
"TYROBP",0,1.60811244059267,0.999,0.239,"0","TYROBP"
"CCL3",0,1.59142669508465,0.637,0.121,"0","CCL3"
"HSPA1A",0,1.56858978634509,0.858,0.192,"0","HSPA1A"
"TIMP1",0,1.51856619554927,0.963,0.291,"0","TIMP1"
"MAFB",0,1.49697377558884,0.736,0.099,"0","MAFB"
"MS4A6A",0,1.47392585791245,0.625,0.068,"0","MS4A6A"
"GSTO1",0,1.46433067662425,0.951,0.283,"0","GSTO1"
"SDCBP",0,1.4450526497012,0.957,0.316,"0","SDCBP"
"S100A10",0,1.44365895522984,0.994,0.474,"0","S100A10"
"LILRB4",0,1.43921185101299,0.708,0.088,"0","LILRB4"
"RSAD2",0,1.43141517499302,0.99,0.599,"0","RSAD2"
"IFITM3",0,1.40215332950589,1,0.467,"0","IFITM3"
"IL4I1",0,1.38869998547795,0.806,0.146,"0","IL4I1"
"KYNU",0,1.35798813012266,0.848,0.161,"0","KYNU"
"CD68",0,1.35308369657831,0.823,0.161,"0","CD68"
"CST3",0,1.3474260068069,0.971,0.194,"0","CST3"
"CCR1",0,1.3397140959583,0.627,0.062,"0","CCR1"
"DEFB1",0,1.33480051973302,0.583,0.064,"0","DEFB1"
"CTSD",0,1.32415682238887,0.568,0.081,"0","CTSD"
"CLEC4E",0,1.30851152079192,0.451,0.026,"0","CLEC4E"
"HSPB1",0,1.29312498131926,0.839,0.221,"0","HSPB1"
"ANXA2",0,1.28633641219946,0.971,0.381,"0","ANXA2"
"NPC2",0,1.28408486774132,0.969,0.35,"0","NPC2"
"PLEK",0,1.27046878803218,0.777,0.153,"0","PLEK"
"ATF5",0,1.26702565151606,0.642,0.1,"0","ATF5"
"FAM26F",0,1.26657172726459,0.829,0.188,"0","FAM26F"
"GPX1",0,1.24994316162541,0.722,0.153,"0","GPX1"
"S100A11",0,1.23433419393275,1,0.557,"0","S100A11"
"PSAP",0,1.22040385428598,0.937,0.27,"0","PSAP"
"SPI1",0,1.20802779908126,0.766,0.145,"0","SPI1"
"IL27",0,1.2033198920915,0.491,0.044,"0","IL27"
"TNFSF13B",0,1.19395472298647,0.945,0.296,"0","TNFSF13B"
"GRN",0,1.18495641794432,0.695,0.135,"0","GRN"
"CFP",0,1.17595019480822,0.593,0.096,"0","CFP"
"ATP6V1F",0,1.15853647517383,0.927,0.4,"0","ATP6V1F"
"NFKBIA",0,1.15277996674966,0.906,0.432,"0","NFKBIA"
"MNDA",0,1.14095503098736,0.7,0.15,"0","MNDA"
"S100A6",0,1.10818785555952,0.964,0.454,"0","S100A6"
"GLUL",0,1.10696593927621,0.645,0.133,"0","GLUL"
"CREG1",0,1.09336741411095,0.509,0.067,"0","CREG1"
"CD300E",0,1.08477907926606,0.554,0.086,"0","CD300E"
"CAPG",0,1.08190781633061,0.606,0.12,"0","CAPG"
"CCRL2",0,1.07011764208832,0.462,0.054,"0","CCRL2"
"SAT1",0,1.05251426758502,1,0.773,"0","SAT1"
"FCGRT",0,1.04759613285234,0.503,0.071,"0","FCGRT"
"RAC1",0,1.04126370609272,0.898,0.307,"0","RAC1"
"FGL2",0,1.03738823531161,0.727,0.152,"0","FGL2"
"EMP3",0,1.00735940247474,0.995,0.64,"0","EMP3"
"CFD",0,1.00043024452381,0.616,0.107,"0","CFD"
"PILRA",0,0.995651974166045,0.67,0.126,"0","PILRA"
"NAGK",0,0.993663886537932,0.701,0.181,"0","NAGK"
"C3AR1",0,0.986862808803715,0.73,0.151,"0","C3AR1"
"SLAMF7",0,0.983879070512608,0.636,0.154,"0","SLAMF7"
"CLIC1",0,0.943346579183115,0.983,0.495,"0","CLIC1"
"PLAUR",0,0.922044842051831,0.583,0.128,"0","PLAUR"
"DYNLT1",0,0.908614114915645,0.985,0.599,"0","DYNLT1"
"IFIT2",0,0.888369640796794,0.961,0.692,"0","IFIT2"
"CTSS",0,0.877705277118414,0.922,0.423,"0","CTSS"
"C20orf24",0,0.871894677656737,0.737,0.247,"0","C20orf24"
"TNFSF10",0,0.865261142915611,0.99,0.654,"0","TNFSF10"
"CYBA",0,0.857440720558272,0.982,0.552,"0","CYBA"
"ATP6V0B",0,0.855841629570483,0.8,0.304,"0","ATP6V0B"
"SSB",0,0.841062669474232,0.825,0.343,"0","SSB"
"HLA-DRB1",0,0.79392066298541,0.939,0.341,"0","HLA-DRB1"
"LMNA",0,0.79240560131531,0.527,0.107,"0","LMNA"
"VIM",0,0.785950258667301,0.97,0.631,"0","VIM"
"TXN",0,0.741718365656886,0.9,0.362,"0","TXN"
"CARD16",0,0.731952782769369,0.922,0.451,"0","CARD16"
"WARS",0,0.728387596638189,0.716,0.232,"0","WARS"
"GAPDH",0,0.715238847686003,0.956,0.569,"0","GAPDH"
"HLA-DRA",0,0.704490759935801,0.984,0.372,"0","HLA-DRA"
"SH3BGRL3",0,0.692144243527058,0.984,0.71,"0","SH3BGRL3"
"MS4A7",0,0.505979486891365,0.652,0.139,"0","MS4A7"
"TMSB10",0,0.435761912301925,1,0.948,"0","TMSB10"
"GPX4",1.48219693752374e-323,0.970597755655598,0.732,0.267,"0","GPX4"
"LY6E",2.07507571253324e-322,0.478476302795121,0.998,0.895,"0","LY6E"
"PDE4DIP",1.55531865310824e-320,0.989807979528857,0.414,0.044,"0","PDE4DIP"
"AIF1",2.63850817505059e-319,0.775155191424732,0.54,0.12,"0","AIF1"
"STX11",9.67126436595505e-317,0.909462603940737,0.627,0.165,"0","STX11"
"CCR5",2.32591487331528e-313,0.965530956913128,0.405,0.042,"0","CCR5"
"DRAM1",2.81025264828144e-312,1.02825393346166,0.497,0.086,"0","DRAM1"
"RABGAP1L",1.12091390339826e-311,0.830622884008828,0.697,0.225,"0","RABGAP1L"
"SNX10",6.98749481022165e-310,0.903272573478806,0.552,0.12,"0","SNX10"
"MYL6",3.89555655730594e-308,0.569348427615869,0.994,0.829,"0","MYL6"
"PVRL2",5.47484520236187e-308,0.949771644524927,0.413,0.049,"0","PVRL2"
"EMP1",5.97361964281446e-308,0.941856367606877,0.374,0.032,"0","EMP1"
"HMOX1",2.01745265430433e-307,1.18792309353552,0.455,0.07,"0","HMOX1"
