"","A","B","C","D","similarity","regroup"
"1",NA,"B_3","C_7",NA,0.99,1
"2","A_9;A_5",NA,NA,NA,0.96,2
"3","A_6",NA,NA,"D_4",0.93,3
"4","A_1","B_8",NA,"D_10",0.88,4
"5",NA,NA,"C_6;C_5",NA,0.84,5
"6",NA,"B_2",NA,"D_1",0.81,6
"7","A_4","B_1","C_9;C_8",NA,0.8,7
"8","A_10","B_5",NA,NA,0.77,8
"9",NA,"B_4","C_4",NA,0.72,9
"10",NA,"B_9;B_10",NA,NA,0.68,10
"11",NA,NA,"C_10","D_2",0.55,11
"12","A_8","B_6","C_3;C_1",NA,0.43,12
"13",NA,NA,NA,"D_9",NA,13
"14",NA,NA,NA,"D_6",NA,14
"15",NA,NA,NA,"D_7",NA,15
"16","A_7",NA,NA,NA,NA,16
"17",NA,NA,NA,"D_5",NA,17
"18",NA,NA,NA,"D_3",NA,18
"19",NA,NA,NA,"D_8",NA,19
"20","A_2",NA,NA,NA,NA,20
"21","A_3",NA,NA,NA,NA,21
"22",NA,NA,"C_2",NA,NA,22
"23",NA,"B_7",NA,NA,NA,23
